City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Luwuk,ID,2021-06-03 21:44:24,-0.9516,122.7875,77.92,83,100,4.99
214,Tuxpan,MX,2021-06-03 21:44:24,19.55,-103.4,76.77,62,99,6.76
215,Arman,RU,2021-06-03 21:44:25,59.7,150.1667,39.61,94,100,0.69
216,Bonthe,SL,2021-06-03 21:44:25,7.5264,-12.505,80.42,86,98,6.91
217,Thaba-Tseka,LS,2021-06-03 21:44:25,-29.522,28.6084,24.22,93,78,4.14
218,Sulangan,PH,2021-06-03 21:44:26,11.1373,123.7228,83.5,74,100,3.15
219,Almaznyy,RU,2021-06-03 21:44:26,48.0448,40.045,55.54,98,100,6.98
220,Bonfim,BR,2021-06-03 21:44:26,3.0833,-59.95,76.89,87,99,5.19
221,Tiznit,MA,2021-06-03 21:44:26,29.5833,-9.5,64.44,69,100,2.59
222,Ahipara,NZ,2021-06-03 21:44:13,-35.1667,173.1667,58.57,64,17,1.79
223,Camana,PE,2021-06-03 21:44:27,-16.6228,-72.7111,65.19,78,95,2.95
224,Baruun-Urt,MN,2021-06-03 21:43:50,46.6806,113.2792,46.81,70,14,11.54
225,Kavaratti,IN,2021-06-03 21:43:55,10.5669,72.642,83.86,75,100,16.46
226,Tasiilaq,GL,2021-06-03 21:44:00,65.6145,-37.6368,44.76,76,79,5.21
227,Ningxiang,CN,2021-06-03 21:44:27,37.34,111.2052,54.41,39,0,4.09
228,Moindou,NC,2021-06-03 21:44:28,-21.6924,165.677,66.15,66,5,4.0
229,Neftcala,AZ,2021-06-03 21:44:28,39.3742,49.2472,68.56,72,0,9.73
230,Nikel,RU,2021-06-03 21:44:28,69.4128,30.222,62.78,54,73,8.43
231,Spasskoye,RU,2021-06-03 21:44:29,44.6108,132.7969,55.33,91,100,4.94
232,Palencia,ES,2021-06-03 21:44:29,42.4167,-4.5,53.8,96,80,16.67
233,Mantua,IT,2021-06-03 21:44:29,45.1667,10.7833,72.55,70,53,5.55
234,Geraldton,AU,2021-06-03 21:44:30,-28.7667,114.6,46.81,93,0,10.47
235,Praia Da Vitoria,PT,2021-06-03 21:44:30,38.7333,-27.0667,64.65,68,20,6.87
236,Santiago Del Estero,AR,2021-06-03 21:41:25,-27.7951,-64.2615,71.33,62,1,4.74
237,Cabedelo,BR,2021-06-03 21:44:30,-6.9811,-34.8339,77.67,77,23,11.34
238,Margate,GB,2021-06-03 21:44:31,51.3813,1.3862,64.26,75,25,8.88
239,Saint-Augustin,CA,2021-06-03 21:44:31,51.226,-58.6502,60.82,61,95,18.95
240,Camapua,BR,2021-06-03 21:44:31,-19.5314,-54.0439,81.55,34,79,3.65
241,Ponta Do Sol,PT,2021-06-03 21:44:31,32.6667,-17.1,65.03,52,49,8.1
242,Caldwell,US,2021-06-03 21:40:45,43.6629,-116.6874,102.52,18,1,0.0
243,Kaitangata,NZ,2021-06-03 21:44:32,-46.2817,169.8464,48.92,83,100,3.11
244,Cururupu,BR,2021-06-03 21:44:32,-1.8283,-44.8683,74.88,96,28,2.68
245,Puerto Del Rosario,ES,2021-06-03 21:44:32,28.5004,-13.8627,67.75,73,20,17.27
246,Derzhavinsk,KZ,2021-06-03 21:44:33,51.1,66.3167,65.7,53,78,3.91
247,Fareham,GB,2021-06-03 21:44:33,50.8516,-1.1793,59.81,86,87,1.99
248,Ouango,CF,2021-06-03 21:44:33,4.3133,22.5552,70.43,93,53,3.13
249,Boa Vista,BR,2021-06-03 21:44:34,2.8197,-60.6733,76.98,88,75,4.61
250,Hasaki,JP,2021-06-03 21:44:34,35.7333,140.8333,70.29,83,100,25.77
251,Noumea,NC,2021-06-03 21:44:34,-22.2763,166.4572,71.01,99,3,3.04
252,Namtsy,RU,2021-06-03 21:44:35,62.7161,129.6658,60.91,48,18,3.56
253,Hukuntsi,BW,2021-06-03 21:44:35,-24.0,21.75,50.13,50,0,7.87
254,Maningrida,AU,2021-06-03 21:44:35,-12.0667,134.2667,70.11,90,33,7.2
255,Cervo,ES,2021-06-03 21:44:35,43.6702,-7.4101,51.96,76,27,2.15
256,Turayf,SA,2021-06-03 21:44:36,31.6725,38.6637,75.45,19,0,11.5
257,Touros,BR,2021-06-03 21:39:47,-5.1989,-35.4608,79.7,74,20,12.46
258,Aba,NG,2021-06-03 21:44:36,5.1066,7.3667,80.22,92,6,4.54
259,Ejura,GH,2021-06-03 21:44:37,7.3856,-1.3562,78.89,78,10,8.12
260,Saldanha,ZA,2021-06-03 21:44:37,-33.0117,17.9442,50.05,65,57,5.57
261,Richards Bay,ZA,2021-06-03 21:44:37,-28.783,32.0377,62.29,67,100,20.29
262,Villazon,BO,2021-06-03 21:44:37,-22.0866,-65.5942,52.45,12,51,5.79
263,Inuvik,CA,2021-06-03 21:44:38,68.3499,-133.7218,49.06,76,90,6.91
264,Mayumba,GA,2021-06-03 21:44:38,-3.432,10.6554,76.44,92,4,6.15
265,Longyearbyen,SJ,2021-06-03 21:44:38,78.2186,15.6401,37.24,70,40,3.44
266,Kodiak,US,2021-06-03 21:44:39,57.79,-152.4072,47.07,80,68,7.07
267,Quatre Cocos,MU,2021-06-03 21:44:39,-20.2078,57.7625,74.08,72,50,16.24
268,Rosehearty,GB,2021-06-03 21:44:39,57.697,-2.1132,57.27,80,74,15.28
269,Pevek,RU,2021-06-03 21:43:30,69.7008,170.3133,34.75,74,54,2.21
270,Nhulunbuy,AU,2021-06-03 21:44:40,-12.2333,136.7667,72.21,94,63,5.75
271,Gondanglegi,ID,2021-06-03 21:44:40,-7.7479,112.0132,73.33,90,73,3.78
272,Maraa,BR,2021-06-03 21:44:41,-1.8333,-65.3667,75.85,96,61,2.95
273,Andenes,NO,2021-06-03 21:44:41,69.3143,16.1194,58.98,51,0,5.75
274,Akyab,MM,2021-06-03 21:44:41,20.15,92.9,83.95,79,99,8.41
275,Bondo,CD,2021-06-03 21:44:41,3.8146,23.6866,69.12,96,53,2.44
276,Coari,BR,2021-06-03 21:44:42,-4.085,-63.1414,78.48,82,93,2.37
277,Ocampo,MX,2021-06-03 21:44:42,21.65,-101.5,76.28,49,100,2.28
278,Acarau,BR,2021-06-03 21:44:42,-2.8856,-40.12,79.7,74,11,14.92
