City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Sayyan,YE,15.1718,44.3244,68.56,20,22,12.35,few clouds
145,Chalons-En-Champagne,FR,48.9539,4.3672,61.11,94,100,7.87,overcast clouds
146,Thompson,CA,55.7435,-97.8558,57.36,72,75,6.91,broken clouds
147,Senno,RU,59.5336,33.9167,66.25,62,13,4.47,few clouds
148,Castro,BR,-24.7911,-50.0119,72.39,54,1,7.45,clear sky
149,Ler,SS,8.3018,30.1418,76.66,74,84,3.13,broken clouds
150,Bridlington,GB,54.0831,-0.1919,71.62,80,8,8.68,clear sky
151,Port Elizabeth,ZA,-33.918,25.5701,64.69,82,0,16.11,clear sky
152,Panama City,PA,8.9936,-79.5197,91.92,68,40,9.22,scattered clouds
153,Hamilton,US,39.1834,-84.5333,86.85,51,40,1.99,scattered clouds
154,Iqaluit,CA,63.7506,-68.5145,33.53,93,75,5.99,light snow
155,Usinsk,RU,65.9939,57.5281,48.83,86,100,18.07,overcast clouds
156,North Platte,US,41.1239,-100.7654,88.32,53,1,5.99,clear sky
157,Toora-Khem,RU,52.4675,96.11,41.05,92,99,9.42,overcast clouds
158,Osakarovka,KZ,50.565,72.5692,48.85,46,0,8.05,clear sky
159,Ketchikan,US,55.3422,-131.6461,48.67,93,90,14.97,light rain
160,Faya,SA,18.3851,42.4509,73.92,56,12,3.22,few clouds
161,Shimoda,JP,34.6667,138.95,71.17,91,98,12.17,overcast clouds
162,Clyde River,CA,70.4692,-68.5914,30.43,100,90,16.11,light snow
163,Beringovskiy,RU,63.05,179.3167,41.22,80,100,6.82,overcast clouds
164,Whakatane,NZ,-37.9585,176.9854,61.52,86,100,8.99,moderate rain
165,Ponta Do Sol,PT,32.6667,-17.1,71.71,68,43,2.3,scattered clouds
166,Wageningen,NL,51.9667,5.6667,65.14,88,90,1.01,mist
167,Waipawa,NZ,-41.4122,175.5153,56.03,77,86,5.82,overcast clouds
168,Odemira,PT,37.598,-8.6397,67.15,52,1,10.96,clear sky
169,Tocache,PE,-8.1842,-76.5125,84.97,60,67,0.18,broken clouds
170,Aguimes,ES,27.9054,-15.4461,70.75,77,40,27.63,scattered clouds
171,Victoria,HK,22.2855,114.1577,82.33,76,51,1.01,broken clouds
172,Auki,SB,-8.7676,160.7034,76.32,86,97,2.89,overcast clouds
173,Caravelas,BR,-17.7125,-39.2481,78.22,73,33,7.96,scattered clouds
174,Mount Isa,AU,-20.7333,139.5,58.77,47,68,9.22,broken clouds
175,Codrington,AU,-38.2667,141.9667,52.74,93,100,7.9,overcast clouds
176,Kutum,SD,14.2,24.6667,86.56,14,18,11.97,few clouds
177,Taoudenni,ML,22.6783,-3.9836,114.53,4,21,3.91,few clouds
178,Avera,US,33.194,-82.5271,91.06,51,100,5.01,overcast clouds
179,Birjand,IR,32.8663,59.2211,88.27,8,0,6.91,clear sky
180,Uribia,CO,11.7139,-72.266,90.59,49,100,20.27,overcast clouds
181,Padang,ID,-0.9492,100.3543,75.92,85,93,3.85,overcast clouds
182,Vinh,VN,18.6667,105.6667,78.21,94,99,3.58,overcast clouds
183,Rio Pardo De Minas,BR,-15.6097,-42.5397,78.55,44,58,9.24,broken clouds
184,Voh,NC,-20.9667,164.7,70.63,82,100,9.73,overcast clouds
185,Gorontalo,ID,0.5412,123.0595,75.2,94,95,3.38,overcast clouds
186,Bijie,CN,27.3125,105.2942,60.51,60,83,3.94,broken clouds
187,Airai,TL,-8.9266,125.4092,58.03,93,66,3.27,broken clouds
188,Solton,RU,52.8429,86.4787,41.29,98,100,6.46,overcast clouds
189,Dikson,RU,73.5069,80.5464,30.33,97,99,14.25,overcast clouds
190,Suntar,RU,62.1444,117.6319,49.51,72,100,2.64,overcast clouds
191,High Level,CA,58.5169,-117.136,64.51,55,20,3.06,few clouds
192,Ndele,CF,8.4109,20.6473,72.52,90,75,2.68,light rain
193,San Quintin,MX,30.4833,-115.95,68.9,63,21,10.4,few clouds
194,Sinazongwe,ZM,-17.2614,27.4618,63.91,51,1,4.21,clear sky
195,Makakilo City,US,21.3469,-158.0858,75.61,67,1,3.44,clear sky
196,Chokurdakh,RU,70.6333,147.9167,52.16,75,89,8.77,overcast clouds
197,Salisbury,GB,51.0693,-1.7957,70.63,64,40,11.5,scattered clouds
198,Khatanga,RU,71.9667,102.5,32.4,88,96,7.23,overcast clouds
199,Alibag,IN,18.6411,72.8792,84.27,76,82,1.61,broken clouds
200,Kotelnikovo,RU,47.6317,43.1461,56.91,90,100,7.92,light rain
201,Yuzhnyy,RU,53.2542,83.6936,48.58,71,40,6.71,scattered clouds
202,Nanortalik,GL,60.1432,-45.2371,45.45,68,98,11.07,overcast clouds
203,Karaton,ID,-6.3424,106.1045,81.95,94,53,2.62,broken clouds
204,Svobodnyy,RU,51.4,128.1333,46.62,65,0,7.09,clear sky
205,Turukhansk,RU,65.8167,87.9833,35.29,98,100,12.44,light rain
206,Tilichiki,RU,60.4667,166.1,41.16,85,100,1.66,overcast clouds
207,Bubaque,GW,11.2833,-15.8333,79.65,82,89,10.31,overcast clouds
208,Port Hedland,AU,-20.3167,118.5667,71.65,60,90,5.75,overcast clouds
209,Englewood,US,39.6478,-104.9878,92.91,25,20,3.0,few clouds
210,Takoradi,GH,4.8845,-1.7554,81.0,76,64,10.87,broken clouds
211,Kondopoga,RU,62.2057,34.2614,73.08,56,100,3.06,overcast clouds
212,Ocampo,MX,21.65,-101.5,74.28,30,52,5.03,broken clouds
213,Lompoc,US,34.6391,-120.4579,72.01,94,90,8.01,overcast clouds
214,Karlshamn,SE,56.1706,14.8619,69.91,59,30,4.88,scattered clouds
215,Hwange,ZW,-18.3693,26.5019,59.31,39,0,2.19,clear sky
216,New Norfolk,AU,-42.7826,147.0587,46.58,68,67,2.37,broken clouds
217,Port-Gentil,GA,-0.7193,8.7815,80.56,83,90,11.5,overcast clouds
218,Wajima,JP,37.4,136.9,64.4,80,100,10.76,overcast clouds
219,Camacupa,AO,-12.0167,17.4833,60.85,34,46,2.35,scattered clouds
220,Namibe,AO,-15.1961,12.1522,73.78,65,2,1.61,clear sky
221,Guerrero Negro,MX,27.9769,-114.0611,73.8,48,3,11.23,clear sky
222,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,73,9,6.73,clear sky
223,Tadine,NC,-21.55,167.8833,70.95,83,96,4.81,overcast clouds
224,Kijang,KR,35.2442,129.2139,69.53,95,12,9.06,few clouds
225,Husavik,IS,66.0449,-17.3389,58.91,80,54,9.15,broken clouds
226,Sur,OM,22.5667,59.5289,89.56,59,0,12.33,clear sky
227,The Valley,AI,18.217,-63.0578,85.86,74,40,18.41,scattered clouds
228,Cristalina,BR,-16.7686,-47.6136,75.99,40,62,8.61,broken clouds
229,Aykhal,RU,66.0,111.5,38.39,63,18,12.06,few clouds
230,Hasaki,JP,35.7333,140.8333,66.29,80,96,9.1,overcast clouds
231,Kavaratti,IN,10.5669,72.642,82.89,77,100,13.8,overcast clouds
232,Vardo,NO,70.3705,31.1107,44.58,70,40,19.57,scattered clouds
233,Zhireken,RU,52.8249,117.3076,51.6,64,1,0.45,clear sky
234,Paamiut,GL,61.994,-49.6678,39.24,87,100,5.23,overcast clouds
